Date,Apple
2002-03-19,1.5548
2002-03-20,1.5592
2002-03-21,1.5185
2002-03-22,1.5072
2002-03-25,1.4609
2002-03-26,1.4678
2002-03-27,1.4684
2002-03-28,1.4809
2002-04-01,1.5304
2002-04-02,1.506
2002-04-03,1.486
2002-04-04,1.5579
2002-04-05,1.5479
2002-04-08,1.5366
2002-04-09,1.5079
2002-04-10,1.5429
2002-04-11,1.5554
2002-04-12,1.5679
2002-04-15,1.5642
2002-04-16,1.6105
2002-04-17,1.6336
2002-04-18,1.5898
2002-04-19,1.5629
2002-04-22,1.5348
2002-04-23,1.5172
2002-04-24,1.4872
2002-04-25,1.5091
2002-04-26,1.4397
2002-04-29,1.4991
2002-04-30,1.5185
2002-05-01,1.5003
2002-05-02,1.4822
2002-05-03,1.4709
2002-05-06,1.4171
2002-05-07,1.4059
2002-05-08,1.5247
2002-05-09,1.5135
2002-05-10,1.459
2002-05-13,1.4978
2002-05-14,1.6023
2002-05-15,1.5817
2002-05-16,1.5773
2002-05-17,1.5648
2002-05-20,1.5479
2002-05-21,1.4678
2002-05-22,1.5216
2002-05-23,1.5754
2002-05-24,1.511
2002-05-28,1.5003
2002-05-29,1.5003
2002-05-30,1.5141
2002-05-31,1.4578
2002-06-03,1.4334
2002-06-04,1.4253
2002-06-05,1.4215
2002-06-06,1.3865
2002-06-07,1.3389
2002-06-10,1.3439
2002-06-11,1.2801
2002-06-12,1.257
2002-06-13,1.2225
2002-06-14,1.2576
2002-06-17,1.2851
2002-06-18,1.2607
2002-06-19,1.0711
2002-06-20,1.0705
2002-06-21,1.0542
2002-06-24,1.0805
2002-06-25,1.0724
2002-06-26,1.0355
2002-06-27,1.0674
2002-06-28,1.1087
2002-07-01,1.0674
2002-07-02,1.0599
2002-07-03,1.098
2002-07-05,1.1725
2002-07-08,1.1268
2002-07-09,1.0968
2002-07-10,1.0836
2002-07-11,1.145
2002-07-12,1.0949
2002-07-15,1.1406
2002-07-16,1.1174
2002-07-17,0.9779
2002-07-18,0.9379
2002-07-19,0.936
2002-07-22,0.9335
2002-07-23,0.9053
2002-07-24,0.951
2002-07-25,0.8985
2002-07-26,0.8972
2002-07-29,0.9397
2002-07-30,0.9654
2002-07-31,0.9548
2002-08-01,0.926
2002-08-02,0.9041
2002-08-05,0.8753
2002-08-06,0.9222
2002-08-07,0.9404
2002-08-08,0.9573
2002-08-09,0.9385
2002-08-12,0.9379
2002-08-13,0.9128
2002-08-14,0.9491
2002-08-15,0.9767
2002-08-16,0.9892
2002-08-19,0.9998
2002-08-20,0.9954
2002-08-21,1.0086
2002-08-22,0.9992
2002-08-23,0.9842
2002-08-26,0.9717
2002-08-27,0.9291
2002-08-28,0.9197
2002-08-29,0.9197
